segment_id,seed,workload_class,request_id,prompt_sha256,input_ids_sha256
2,41,reasoning,10,51ccacee4381f6d268b8543870cfe497a14ec59120313dd7c3fe0ec8f0135e61,da2554c7e79b160d06bd4d1cdcbb7eaf9676acdd01cf9c5b487df7b3b6d92cae
2,41,reasoning,11,ca2a0fe61b7e32edd04d45b92dcf190170a8262471ae01995d11088380e03a4b,eecd22ae62ccc474a417faccd36c1c75dbfa7d00a44baa69f24d75382dd37c2f
2,41,reasoning,12,6d8f999de9795b4601dec3e4103826d92df7ae4235da21d5f0e1384e536c381c,27d191ec2e3821d58b9504667d097e5e4d2df4cd76955b3e3c471b0ea4b22e57
2,41,reasoning,13,f0526018454f346f41320b69b5f9b1ad1e86f62fff7a6e1d0057831daa906bd0,00c3ee42e06c8e86db889db7d5f67e41dcf4a22ae41babcb8d5d8b61a03d5cf0
2,41,reasoning,14,bbd62d14217b159cf6d4269ba934f22903e3bab691d947512e9ebcb38f01ea6e,6779563b9b68019f7cbdff8cf6c829809d772fb35ee0e83dc8e3d3c92797e271
2,41,reasoning,15,b175374d6a8ce9d8123142bd5fb748408e0a98cb2bc06407549b2a54bc9fef49,a977371f9419c269facf00271ada3fcf4c889af5ccee8cf2149f63547bf8cba2
2,41,reasoning,16,686386e883503a8dcb7117f10f264de5e932d22f9068cc0bde43980922921eef,d69a7d3763d5f4876f38115363432c11f6a58e25572913485d8f0d65f0867e6b
2,41,reasoning,17,393817274717dbdaf714f52cc0b9bda70fa418bcec310b7ec58a9a42cc8f2122,8a5a97e7a6e9d1d9aefb8b6237304cacaae8b0e8fbadeb4c6cd3ead1d59d4b8c
2,41,reasoning,18,ffc9df31d60ef6817028ce5a4d347fb08a7e33263394d737c0ac715a26fb18ec,252f871db75059b8094ae235b14c3347993966d95922579b977d9e48a96c74a4
2,41,reasoning,19,9ad00574301e88dc8e070db6ba537b6fe351e3f574d0a5484519058442c1bf55,1667fe06a159475cc0a23b7b1077c456a29ef86ae4bb235865e0331126dcbebc
2,41,reasoning,20,c7ea0fe4e29736840ef269483a457d58f30b6f0d7bbc6c87b1308433bed598bd,c462b63a86098988633f92030935a4df03d812fefe385d3d8d3171ee7c8fa897
2,41,reasoning,21,2838567c7b0cdf559a48791f5c8850d0f7e947bb3993d0e08a8eaeefa47c6107,a2f97a7969ae5bf5ce759eb76f64ffcfc4fd7fd282e15be272bfb8f4c1cc87e3
2,41,reasoning,22,c3cb413e7226760536dab5f86d56a0b25ac8195deb4736a0a5a1d69d2b0c0fff,60ded6702585eb316410ae420e9ae4e5ff611fb511b941cdb6fe994b34b75f1a
2,41,reasoning,23,4045a5c09dc2171303a3d3fe00cfc10d0bd2a5d2b34c3fb3b697f37b93fe3ef1,c939ee3ef6997865876129691e2254f6e0f3c503cae46f1f6bdc89745a02c1b0
